46,r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/3PPN2/PP1B1PPP/RN1QK2R b KQkq - 0 6
47,r2qkb1r/ppp2ppp/2n2n2/3ppb2/8/NP2P1P1/PBPP1PBP/R2QK1NR b KQkq - 4 6
48,r1bqkb1r/ppp2ppp/2n5/1B1pP3/4n3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 6
49,rn1qk2r/ppp1bppp/3pbn2/4p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq - 0 6
50,rn1qk1nr/ppp2ppp/3bp3/5b2/Q1BP1B2/4P3/PP3PPP/RN2K1NR b KQkq - 2 6
51,r2qkbnr/pp1bpppp/2np4/1B6/3PP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6
52,r1bqkb1r/pp2nppp/2n1p3/1BppP3/3P1P2/2P5/PP4PP/RNBQK1NR b KQkq - 2 6
53,r2qkbnr/pp2pppp/2n5/3p1bB1/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq - 4 6
54,r1bqkb1r/pp1n1ppp/2pp1n2/3Pp1B1/2B1P3/8/PPP2PPP/RN1QK1NR b KQkq - 2 6
55,rnbqk2r/pp1pnpbp/4p1p1/2pP4/2B1P3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6
56,r1bqkb1r/ppp2ppp/2np1n2/8/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 6
57,rnb1kbnr/ppp1ppp1/7p/3qP3/8/2NP1N2/PP3PPP/R1BQKB1R b KQkq - 0 6
58,rnbqk1nr/pp1p1pbp/4p1p1/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 1 6
59,r1bqk1nr/pppp1ppp/6n1/3Pp3/1b2P3/P1NB4/1PP2PPP/R1BQK1NR b KQkq - 0 6
60,r1bqkb1r/1ppp1ppp/p1n2n2/3N4/4P3/4Q3/PPP2PPP/R1B1KBNR b KQkq - 1 6
61,r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6
62,rn1qkbnr/1b1ppp1p/ppp3p1/3P4/4P3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 0 6
63,rnbqkbnr/p5pp/p7/2pppp2/8/1P2P3/1BPP1PPP/RN1QKBNR b KQkq - 0 6
64,rnbqk2r/ppp1bpp1/3p1n1p/4P3/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 0 6
65,rnbqkbnr/1p3ppp/2p1p3/2Pp4/1p1P4/P3P3/5PPP/RNBQKBNR b KQkq - 0 6
66,rnbqkbnr/pp3ppp/4p3/2p5/5P2/2NPB3/PPP3PP/R2QKBNR b KQkq - 1 6
67,rnbqkb1r/pp3ppp/5n2/2Pp4/8/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 6
68,r1bqk2r/ppp1bppp/2np1n2/4p1B1/2B1P3/2PP1N2/PP3PPP/RN1QK2R b KQkq - 0 6
69,rnbqkb1r/pp3ppp/2p1p1n1/3pP3/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6
70,rnbqkbnr/pp2pp1p/3p2p1/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq - 1 6
